BldgType,GrLivArea,TotalBsmtSF,OverallQual,GarageCars,GarageArea,Neighborhood,YearBuilt,YearRemodAdd,YrSold,SaleType,SaleCondition,TotRmsAbvGrd,FullBath,@1stFlrSF,@2ndFlrSF,SalePrice,Foundation
Single Family Residential,1172,1172,5,1,366,Edwards,1954,1998,2010,WD,Normal,5,1,1172,0,128000,CBlock
Single Family Residential,1212,1212,6,2,460,Edwards,2009,2009,2010,WD,Normal,6,2,1212,0,186000,PConc
Single Family Residential,1508,1508,7,2,572,Edwards,2009,2010,2010,Con,Partial,5,1,1508,0,308030,PConc
Single Family Residential,1298,1250,5,2,504,Edwards,1964,1964,2010,COD,Normal,5,2,1298,0,114000,CBlock
Single Family Residential,930,0,4,1,308,Edwards,1946,2006,2010,WD,Abnorml,6,1,930,0,84900,CBlock
Single Family Residential,1732,741,6,2,476,SawyerW,1985,1985,2010,WD,Normal,7,2,977,755,178000,CBlock
Single Family Residential,1433,1433,7,2,528,SawyerW,1987,1987,2010,WD,Normal,4,1,1433,0,270000,CBlock
Single Family Residential,1802,946,6,4,1017,SawyerW,1993,1993,2010,WD,Normal,8,2,964,838,218000,PConc
Single Family Residential,1949,1050,7,2,574,SawyerW,1993,1994,2010,WD,Normal,8,2,1062,887,236000,PConc
Single Family Residential,996,936,6,2,564,SawyerW,1992,1992,2010,WD,Normal,5,1,996,0,147000,PConc
Single Family Residential,1694,1694,8,3,776,CollgCr,2008,2008,2010,WD,Normal,7,2,1694,0,245350,PConc
Single Family Residential,1208,1187,7,2,632,CollgCr,2006,2006,2010,WD,Normal,6,2,1208,0,206000,PConc
Single Family Residential,1226,1226,7,3,740,CollgCr,2009,2009,2010,WD,Normal,6,2,1226,0,198900,PConc
Single Family Residential,1222,1222,7,2,615,CollgCr,2010,2010,2010,WD,Normal,6,2,1222,0,187000,PConc
Single Family Residential,3222,1673,7,3,594,SawyerW,1990,1990,2010,WD,Normal,11,3,1699,1523,320000,PConc
Single Family Residential,1445,676,6,2,484,SawyerW,1900,1993,2010,WD,Normal,6,2,831,614,138500,PConc
Single Family Residential,1052,1010,6,2,440,ClearCr,1971,1971,2010,WD,Normal,6,1,1052,0,155000,CBlock
Single Family Residential,965,870,5,2,580,CollgCr,1996,1996,2010,WD,Normal,4,1,965,0,159000,PConc
Single Family Residential,1692,878,7,2,513,CollgCr,1997,1998,2010,WD,Normal,8,2,892,800,191000,PConc
Single Family Residential,1682,804,6,2,523,CollgCr,1998,1998,2010,WD,Normal,7,2,804,878,200500,PConc
Single Family Residential,1026,1026,5,1,308,CollgCr,1977,2004,2010,WD,Normal,5,1,1026,0,150000,CBlock
Single Family Residential,1392,689,6,1,299,CollgCr,1977,1977,2010,WD,Normal,6,1,689,703,161750,CBlock
Single Family Residential,894,894,5,1,308,CollgCr,1976,1976,2010,WD,Normal,5,1,894,0,128200,CBlock
Single Family Residential,876,876,5,2,484,CollgCr,1972,1972,2010,WD,Normal,5,1,876,0,127000,CBlock
Single Family Residential,1978,1978,8,3,850,CollgCr,2003,2003,2010,WD,Normal,8,2,1978,0,318000,PConc
Single Family Residential,1601,1581,8,2,670,CollgCr,2001,2002,2010,WD,Normal,6,2,1601,0,272000,PConc
Single Family Residential,1829,941,7,2,613,CollgCr,2003,2003,2010,WD,Normal,7,2,941,888,237000,PConc
Single Family Residential,2098,1040,7,2,621,CollgCr,1997,1997,2010,WD,Normal,9,2,1044,1054,240000,PConc
Single Family Residential,1661,1649,7,2,598,CollgCr,1998,1998,2010,WD,Normal,6,2,1661,0,224900,PConc
Townhouse End Unit,848,848,6,2,420,CollgCr,2003,2003,2010,WD,Normal,4,1,848,0,143750,PConc
Townhouse End Unit,848,848,6,2,420,CollgCr,2004,2004,2010,WD,Normal,3,1,848,0,143000,PConc
Single Family Residential,1668,1657,8,2,502,CollgCr,2003,2003,2010,WD,Normal,8,2,1668,0,232000,PConc
Single Family Residential,1484,1473,7,2,606,CollgCr,2004,2005,2010,WD,Normal,7,2,1484,0,213000,PConc
Single Family Residential,1414,1414,7,2,494,CollgCr,2004,2004,2010,WD,Normal,6,2,1414,0,185500,PConc
Single Family Residential,640,0,3,1,240,Edwards,1945,2007,2010,ConLD,Normal,5,1,640,0,84900,CBlock
Single Family Residential,992,381,5,1,319,Edwards,1954,1954,2010,Oth,Abnorml,6,1,992,0,155891,CBlock
Duplex,1664,0,5,0,0,Edwards,1965,1965,2010,WD,Normal,8,2,1664,0,100000,CBlock
Single Family Residential,1196,1196,5,1,336,Edwards,1968,1968,2010,WD,Normal,6,1,1196,0,144000,CBlock
Single Family Residential,1120,744,4,2,480,Edwards,1948,1950,2010,WD,Abnorml,5,1,792,328,64000,CBlock
Single Family Residential,1096,1008,6,1,352,Edwards,1975,1975,2010,WD,Normal,5,1,1096,0,125200,CBlock
Single Family Residential,1117,1029,6,2,672,Edwards,1976,1976,2010,WD,Abnorml,6,1,1117,0,107000,CBlock
Single Family Residential,960,960,4,0,0,Edwards,1958,1958,2010,WD,Normal,5,1,960,0,90000,CBlock
Single Family Residential,1121,1121,4,2,440,Edwards,2003,2004,2010,WD,Normal,5,2,1121,0,140000,PConc
Single Family Residential,1487,735,6,1,220,Edwards,1945,1950,2010,WD,Normal,7,1,798,689,113000,CBlock
Two Family Conversion,924,672,4,1,280,Edwards,1941,1950,2010,WD,Normal,5,1,672,252,80000,BrkTil
Single Family Residential,1526,1216,5,1,364,Edwards,1957,2002,2010,WD,Normal,7,1,1526,0,144500,CBlock
Single Family Residential,1296,1107,5,1,260,SWISU,1924,1999,2010,WD,Normal,5,2,1296,0,104000,BrkTil
Single Family Residential,1647,806,6,1,216,SWISU,1915,1950,2010,WD,Normal,6,1,841,806,128000,PConc
Single Family Residential,864,864,3,1,200,Edwards,1914,1950,2010,WD,Normal,5,1,864,0,58500,BrkTil
Single Family Residential,1691,1026,5,1,308,SWISU,1924,1950,2010,WD,Normal,6,2,1026,665,127000,BrkTil
Single Family Residential,856,856,6,2,399,SWISU,1939,1950,2010,WD,Normal,4,1,856,0,126000,CBlock
Duplex,2650,0,4,0,0,SWISU,1967,1967,2010,WD,Normal,10,3,862,1788,160000,Slab
Single Family Residential,1666,894,5,0,0,SWISU,1931,1950,2010,WD,Normal,7,1,894,772,100000,PConc
Single Family Residential,2447,804,6,1,336,SWISU,1919,1990,2010,WD,Normal,10,2,1699,748,169000,PConc
Single Family Residential,2133,1528,7,1,312,Crawfor,1941,1985,2010,WD,Normal,8,1,1225,908,257500,BrkTil
Duplex,2177,1032,5,2,484,Crawfor,1950,1991,2010,WD,Normal,11,2,1102,1075,215000,CBlock
Single Family Residential,2340,1152,7,1,252,Crawfor,1941,2006,2010,WD,Normal,9,2,1188,1152,266500,Stone
Single Family Residential,1902,1902,7,2,567,Crawfor,1959,2002,2010,WD,Normal,7,2,1902,0,335000,PConc
Single Family Residential,1652,423,7,2,473,Crawfor,1994,2007,2010,WD,Normal,6,2,896,756,203135,PConc
Townhouse End Unit,1034,982,8,2,598,Blueste,1989,1989,2010,WD,Normal,4,1,1034,0,185000,CBlock
Townhouse End Unit,1191,1191,8,2,531,Blueste,1989,1989,2010,WD,Normal,5,2,1191,0,162500,CBlock
Single Family Residential,1801,1501,7,2,484,Crawfor,1959,1997,2010,WD,Normal,6,2,1801,0,289000,CBlock
Single Family Residential,1154,796,4,1,240,IDOTRR,1922,2007,2010,WD,Normal,7,1,796,358,125500,BrkTil
Single Family Residential,540,480,2,1,200,IDOTRR,1941,1950,2010,ConLw,Normal,4,1,540,0,82000,BrkTil
Single Family Residential,1107,629,6,1,625,IDOTRR,1921,1975,2010,COD,Normal,5,1,727,380,110000,BrkTil
Single Family Residential,1128,698,4,2,528,IDOTRR,1920,1950,2010,COD,Abnorml,6,1,698,430,68400,CBlock
Single Family Residential,1178,859,4,1,384,IDOTRR,1900,1950,2010,WD,Abnorml,7,1,859,319,102776,Stone
Single Family Residential,1044,540,5,2,504,IDOTRR,1952,1952,2010,WD,Alloca,4,1,1044,0,55993,CBlock
Single Family Residential,952,756,4,1,330,IDOTRR,1896,1950,2010,WD,Alloca,5,1,952,0,50138,CBlock
Townhouse End Unit,1646,1594,8,2,525,Crawfor,2004,2005,2010,WD,Normal,5,2,1646,0,246000,PConc
Single Family Residential,1916,1049,8,3,741,Mitchel,1998,1999,2010,WD,Normal,8,2,1036,880,254900,PConc
Single Family Residential,1285,1243,6,2,473,Mitchel,1977,1977,2010,WD,Normal,6,2,1285,0,190000,CBlock
Single Family Residential,1560,1560,7,2,573,Mitchel,2003,2003,2010,WD,Normal,7,2,1560,0,201000,PConc
Single Family Residential,1034,1012,6,3,888,Mitchel,1976,1976,2010,WD,Normal,6,1,1034,0,169900,CBlock
Duplex,2048,1958,6,2,776,Mitchel,1976,1976,2010,ConLD,Normal,9,3,2048,0,170000,CBlock
Single Family Residential,1687,747,5,2,572,Timber,1948,1950,2010,WD,Normal,7,1,1687,0,160000,CBlock
Single Family Residential,1346,1336,7,3,660,Timber,2008,2008,2010,WD,Normal,6,2,1346,0,220000,PConc
Single Family Residential,1214,1214,7,2,520,Timber,2009,2010,2010,New,Partial,6,2,1214,0,179781,PConc
Single Family Residential,1444,384,5,2,400,Timber,2006,2007,2010,WD,Normal,7,2,744,700,174000,PConc
Single Family Residential,1968,774,8,3,680,Timber,2009,2010,2010,New,Partial,8,2,774,1194,269500,PConc
Single Family Residential,1894,817,7,2,510,Timber,2002,2003,2010,WD,Normal,8,2,824,1070,214900,PConc
Single Family Residential,1908,967,8,2,431,Timber,2002,2002,2010,WD,Normal,9,2,993,915,202900,PConc
Single Family Residential,2018,2002,9,3,746,Timber,2008,2009,2010,WD,Normal,10,2,2018,0,378500,PConc
Single Family Residential,1264,1068,5,2,528,Mitchel,1965,1977,2010,WD,Normal,7,1,1264,0,169000,CBlock
Single Family Residential,1430,1430,5,2,624,Mitchel,2004,2005,2010,WD,Normal,7,2,1430,0,173500,PConc
Duplex,1824,912,6,0,0,Mitchel,1971,1971,2010,WD,Normal,8,2,912,912,139000,CBlock
Single Family Residential,1344,1344,5,2,686,Mitchel,1999,1999,2010,WD,Normal,7,2,1344,0,166500,PConc
Townhouse End Unit,1092,546,4,1,286,MeadowV,1973,1973,2010,WD,Normal,6,1,546,546,83500,CBlock
Twnhs,945,945,5,1,253,MeadowV,1973,1973,2010,WD,Normal,5,1,945,0,119500,CBlock
Townhouse End Unit,1112,536,5,1,336,MeadowV,1976,1976,2010,WD,Normal,4,1,536,576,85000,CBlock
Twnhs,1092,546,4,0,0,MeadowV,1970,1970,2010,WD,Normal,5,1,546,546,76000,CBlock
Townhouse End Unit,630,630,4,0,0,MeadowV,1972,1972,2010,WD,Normal,3,1,630,0,75500,CBlock
Townhouse End Unit,1092,546,4,0,0,MeadowV,1970,1970,2010,WD,Normal,5,1,546,546,88250,CBlock
Townhouse End Unit,1092,546,4,1,286,MeadowV,1972,1972,2010,WD,Normal,5,1,546,546,85500,CBlock
Single Family Residential,874,864,5,1,352,Mitchel,1971,2004,2010,ConLD,Normal,5,1,874,0,130000,CBlock
Single Family Residential,1188,1188,5,1,312,Mitchel,1962,1962,2010,WD,Normal,6,1,1188,0,157900,CBlock
Single Family Residential,833,833,5,2,495,Mitchel,1984,1984,2010,WD,Normal,5,1,833,0,149900,CBlock
Duplex,2432,1216,5,2,616,Mitchel,1985,1986,2010,WD,Normal,10,4,1216,1216,159000,PConc
Single Family Residential,1274,624,5,2,576,Mitchel,1991,1991,2010,WD,Normal,6,1,624,650,136000,PConc
Single Family Residential,1479,864,5,1,275,Mitchel,1969,1969,2010,WD,Normal,8,2,864,615,161000,CBlock
Single Family Residential,1803,1679,8,2,482,Mitchel,1994,1995,2010,WD,Normal,6,2,1803,0,285000,PConc
Single Family Residential,1797,1152,6,2,616,Mitchel,1993,1994,2010,WD,Normal,7,2,1152,645,231000,PConc
Single Family Residential,882,882,6,1,502,NAmes,1956,1956,2009,WD,Normal,5,1,882,0,124500,CBlock
Single Family Residential,1434,1434,6,2,528,NAmes,1974,1974,2009,WD,Normal,7,2,1434,0,157000,CBlock
Single Family Residential,2704,1952,8,2,538,NAmes,1972,1995,2009,WD,Normal,9,2,2000,704,345000,CBlock
Single Family Residential,1608,945,6,2,470,Gilbert,1997,1997,2009,WD,Normal,7,2,945,663,189500,PConc
Single Family Residential,2283,1008,8,3,632,Gilbert,2003,2003,2009,WD,Normal,9,2,1008,1275,270000,PConc
Single Family Residential,1628,384,7,2,390,Gilbert,1996,1997,2009,WD,Normal,7,2,958,670,189000,PConc
Single Family Residential,1746,1746,9,3,758,Gilbert,2006,2007,2009,WD,Normal,7,2,1746,0,377500,PConc
Single Family Residential,1474,384,7,2,400,Gilbert,1995,1996,2009,WD,Normal,7,2,804,670,168500,PConc
Townhouse End Unit,2522,2208,8,2,564,StoneBr,2004,2005,2009,WD,Normal,8,2,2522,0,375000,PConc
Townhouse End Unit,1659,1501,8,2,499,StoneBr,2000,2000,2009,WD,Normal,5,2,1659,0,278000,PConc
Single Family Residential,1478,1418,8,2,495,StoneBr,1998,1998,2009,WD,Normal,5,2,1478,0,240000,PConc
Townhouse End Unit,1734,1587,8,2,528,StoneBr,1995,1996,2009,WD,Normal,6,2,1734,0,239500,PConc
Single Family Residential,1382,384,7,2,396,Gilbert,1998,1998,2009,WD,Normal,7,2,751,631,177500,PConc
Single Family Residential,1718,832,7,2,427,Gilbert,1998,1998,2009,WD,Normal,7,2,885,833,185000,PConc
Single Family Residential,1636,952,6,2,440,Gilbert,1998,1999,2009,WD,Normal,7,2,952,684,191000,PConc
Single Family Residential,1571,799,6,2,380,Gilbert,1993,1994,2009,WD,Normal,7,2,799,772,178000,PConc
Single Family Residential,1470,680,6,2,420,Gilbert,1993,1993,2009,WD,Normal,6,2,680,790,185000,PConc
Single Family Residential,1516,707,6,2,409,Gilbert,1994,1995,2009,WD,Normal,7,2,707,809,181316,PConc
Single Family Residential,1190,1181,6,2,430,Gilbert,1993,1993,2009,WD,Normal,6,2,1190,0,166000,PConc
Single Family Residential,1593,808,6,2,389,Gilbert,1992,1993,2009,WD,Normal,7,2,808,785,178000,PConc
Single Family Residential,1481,702,6,2,343,Gilbert,1994,1995,2009,WD,Normal,6,2,702,779,174000,PConc
Single Family Residential,1167,1158,6,2,400,Gilbert,1992,1992,2009,WD,Normal,6,2,1167,0,173000,PConc
Single Family Residential,1983,978,7,2,490,Gilbert,1999,1999,2009,WD,Normal,9,2,1005,978,225000,PConc
Single Family Residential,1442,1424,7,2,500,Gilbert,1990,1990,2009,WD,Normal,5,2,1442,0,180500,PConc
Townhouse End Unit,1360,1220,8,2,565,StoneBr,1984,1984,2009,COD,Abnorml,4,1,1360,0,187500,CBlock
Single Family Residential,2234,2216,9,3,1166,StoneBr,2008,2009,2009,New,Partial,9,2,2234,0,501837,PConc
Single Family Residential,2046,2046,8,3,834,StoneBr,2008,2008,2009,New,Partial,7,2,2046,0,372500,PConc
Single Family Residential,1530,1530,7,2,430,StoneBr,2005,2005,2009,WD,Normal,7,2,1530,0,260000,PConc
Single Family Residential,1934,1122,5,2,567,Gilbert,1977,1977,2009,WD,Normal,6,2,946,988,185000,PConc
Single Family Residential,2353,845,7,2,484,NWAmes,1980,1980,2009,WD,Normal,10,2,1153,1200,260000,CBlock
Single Family Residential,1586,1362,6,2,435,NWAmes,1979,1998,2009,WD,Normal,7,2,1586,0,181000,CBlock
Single Family Residential,1411,1386,7,2,544,NWAmes,1977,1977,2009,WD,Family,6,2,1411,0,82500,CBlock
Single Family Residential,1602,1602,6,2,529,NWAmes,1977,2000,2009,WD,Normal,8,2,1602,0,215000,CBlock
Single Family Residential,2050,832,7,2,529,NWAmes,1978,1978,2009,WD,Abnorml,8,2,1154,896,154000,CBlock
Single Family Residential,1671,1427,6,2,484,NWAmes,1978,1986,2009,WD,Normal,7,2,1671,0,200000,PConc
Single Family Residential,2673,1043,7,2,441,NWAmes,1980,1991,2009,WD,Normal,9,2,1539,1134,249000,CBlock
Single Family Residential,1472,1372,7,2,588,NWAmes,1980,1980,2009,WD,Normal,6,2,1472,0,187500,CBlock
Single Family Residential,1707,1140,6,2,479,NWAmes,1978,1998,2009,WD,Normal,7,2,1707,0,184000,PConc
Single Family Residential,2524,2524,8,2,542,NWAmes,1981,1981,2009,WD,Normal,9,2,2524,0,278000,PConc
Single Family Residential,1601,1271,7,2,478,NWAmes,1978,1978,2009,COD,Abnorml,7,2,1601,0,157000,CBlock
Single Family Residential,1370,1090,7,2,479,NWAmes,1976,1976,2009,WD,Family,6,2,1370,0,152000,CBlock
Single Family Residential,1868,780,5,2,484,NWAmes,1976,1976,2009,WD,Normal,9,2,1088,780,197500,CBlock
Single Family Residential,1884,926,7,2,581,Somerst,2003,2003,2009,WD,Normal,7,2,1016,868,240900,PConc
Single Family Residential,1935,832,8,2,552,Somerst,2009,2009,2009,New,Partial,8,2,832,1103,263435,PConc
Single Family Residential,1874,1058,8,2,588,Somerst,2000,2001,2009,WD,Normal,7,2,1058,816,220000,PConc
Single Family Residential,1811,972,8,2,565,Somerst,2002,2002,2009,WD,Normal,7,2,972,839,235000,PConc
Single Family Residential,1621,1621,5,2,478,NWAmes,1975,1975,2009,WD,Normal,7,2,1621,0,213000,CBlock
Single Family Residential,1116,1116,6,2,528,NWAmes,1974,1974,2009,WD,Normal,6,2,1116,0,167900,CBlock
Single Family Residential,1193,1176,7,2,506,NWAmes,1975,1975,2009,WD,Normal,5,2,1193,0,158000,CBlock
Single Family Residential,1350,1064,6,2,478,NWAmes,1974,1974,2009,WD,Normal,7,2,1350,0,165000,CBlock
Single Family Residential,2119,689,6,2,583,NWAmes,1972,1972,2009,COD,Abnorml,7,2,1378,741,158000,CBlock
Duplex,1792,896,5,0,0,NAmes,1974,1974,2009,WD,Normal,8,2,896,896,136000,CBlock
Single Family Residential,1002,1002,5,2,902,NAmes,1970,1970,2009,WD,Normal,5,1,1002,0,148500,CBlock
Single Family Residential,1026,1026,6,2,440,NAmes,1969,2005,2009,WD,Normal,5,1,1026,0,156000,CBlock
Single Family Residential,1180,1180,5,2,477,NAmes,1970,1970,2009,COD,Normal,6,1,1180,0,128000,CBlock
Single Family Residential,1050,1043,5,1,336,NAmes,1971,1971,2009,WD,Normal,6,1,1050,0,143000,CBlock
Single Family Residential,864,864,4,2,576,NAmes,1970,1970,2009,WD,Abnorml,5,1,864,0,76500,CBlock
Single Family Residential,864,864,4,2,660,NAmes,1970,1970,2009,WD,Normal,5,1,864,0,120500,CBlock
Single Family Residential,864,864,4,2,463,NAmes,1970,1970,2009,WD,Normal,5,1,864,0,124500,CBlock
Single Family Residential,864,864,4,2,576,NAmes,1971,1971,2009,WD,Abnorml,4,1,864,0,97000,CBlock
Single Family Residential,864,864,4,2,576,NAmes,1971,2006,2009,WD,Normal,5,1,864,0,130000,CBlock
Twnhs,987,483,6,1,264,BrDale,1973,1973,2009,WD,Normal,5,1,483,504,111000,CBlock
Townhouse End Unit,1365,765,5,2,440,BrDale,1970,1970,2009,WD,Normal,7,1,765,600,125000,CBlock
Twnhs,1302,630,5,1,280,BrDale,1971,1971,2009,COD,Abnorml,6,2,630,672,112000,CBlock
Twnhs,987,483,6,1,288,BrDale,1972,1972,2009,WD,Normal,5,1,483,504,97000,CBlock
Twnhs,987,483,6,1,264,BrDale,1972,2007,2009,WD,Normal,5,1,483,504,118000,CBlock
Twnhs,1302,630,5,1,264,BrDale,1972,1972,2009,WD,Normal,6,2,630,672,119500,CBlock
Townhouse End Unit,958,958,6,2,440,NPkVill,1976,1976,2009,WD,Normal,5,2,958,0,143750,CBlock
Townhouse End Unit,1548,804,6,2,440,NPkVill,1976,1976,2009,WD,Normal,7,2,804,744,146000,CBlock
Twnhs,1456,855,6,2,440,NPkVill,1976,1976,2009,WD,Normal,7,2,855,601,148500,CBlock
Twnhs,1055,1057,7,2,440,NPkVill,1975,1975,2009,WD,Normal,4,2,1055,0,123000,CBlock
Townhouse End Unit,1322,855,6,2,440,NPkVill,1974,1974,2009,WD,Normal,6,2,855,467,147000,CBlock
Twnhs,1456,855,6,2,440,NPkVill,1977,1977,2009,WD,Normal,6,2,855,601,137900,CBlock
Townhouse End Unit,1548,804,6,2,440,NPkVill,1978,1978,2009,WD,Normal,7,2,804,744,147000,CBlock
Twnhs,1441,855,6,2,440,NPkVill,1978,1978,2009,WD,Normal,7,2,855,586,148500,CBlock
Townhouse End Unit,1456,855,6,2,440,NPkVill,1978,1978,2009,WD,Normal,6,2,855,601,138000,CBlock
Townhouse End Unit,836,836,7,1,345,NPkVill,1976,1976,2009,WD,Normal,5,1,836,0,128500,CBlock
Single Family Residential,892,892,5,1,288,NAmes,1967,1967,2009,WD,Normal,5,1,892,0,100000,CBlock
Single Family Residential,1120,864,5,2,656,NAmes,1966,2004,2009,WD,Normal,5,1,1120,0,148800,PConc
Single Family Residential,1718,1700,10,3,786,NridgHt,2006,2007,2009,WD,Normal,7,2,1718,0,337500,PConc
Single Family Residential,2772,1776,9,3,754,NridgHt,2007,2007,2009,WD,Normal,10,3,1794,978,462000,PConc
Single Family Residential,3140,1926,9,3,820,NridgHt,2008,2009,2009,New,Partial,11,3,1966,1174,485000,PConc
Single Family Residential,2402,3094,10,3,672,NridgHt,2008,2008,2009,WD,Normal,10,2,2402,0,555000,PConc
Single Family Residential,1652,1652,9,2,840,NridgHt,2006,2007,2009,WD,Normal,6,2,1652,0,325000,PConc
Single Family Residential,1600,1566,8,3,890,NridgHt,2007,2007,2009,WD,Normal,7,2,1600,0,256300,PConc
Single Family Residential,2042,2042,8,3,1390,NridgHt,2008,2009,2009,New,Partial,8,2,2042,0,253293,PConc
Single Family Residential,2690,1365,9,3,864,NridgHt,2009,2009,2009,New,Partial,8,2,1365,1325,398800,PConc
Single Family Residential,2184,1104,9,3,836,NridgHt,2008,2008,2009,WD,Normal,10,2,1130,1054,335000,PConc
Single Family Residential,2020,2020,9,3,896,NridgHt,2008,2008,2009,WD,Normal,7,2,2020,0,404000,PConc
Single Family Residential,2020,2006,10,3,900,NridgHt,2009,2009,2009,New,Partial,9,2,2020,0,402861,CBlock
Single Family Residential,2296,1722,10,3,842,NridgHt,2008,2008,2009,ConLI,Normal,10,2,1728,568,451950,PConc
Single Family Residential,2674,2630,10,3,762,NridgHt,2007,2007,2009,WD,Normal,8,2,2674,0,610000,PConc
Single Family Residential,2822,1734,9,3,1020,NridgHt,2008,2009,2009,New,Partial,12,3,1734,1088,582933,PConc
Single Family Residential,1736,1736,9,3,834,NridgHt,2008,2008,2009,WD,Normal,7,2,1736,0,360000,PConc
Single Family Residential,1782,1782,8,3,932,NridgHt,2004,2005,2009,WD,Normal,7,2,1782,0,296000,PConc
Single Family Residential,2520,1508,8,3,640,NridgHt,2007,2007,2009,WD,Family,10,2,1508,1012,409900,PConc
Single Family Residential,1717,1709,8,3,908,NridgHt,2006,2006,2009,WD,Normal,7,2,1717,0,255500,PConc
Single Family Residential,1743,1739,9,3,927,NridgHt,2008,2008,2009,ConLI,Normal,8,2,1743,0,335000,PConc
Single Family Residential,1713,1713,8,3,856,NridgHt,2004,2005,2009,WD,Normal,7,2,1713,0,274900,PConc
Single Family Residential,1531,1504,9,3,700,NridgHt,2006,2006,2009,WD,Normal,6,2,1531,0,300000,PConc
Single Family Residential,1808,1774,9,3,850,NridgHt,2008,2008,2009,WD,Normal,7,2,1808,0,324000,PConc
Single Family Residential,2224,1462,9,3,738,NridgHt,2004,2005,2009,WD,Normal,10,2,1462,762,350000,PConc
Single Family Residential,1836,1836,8,3,862,NridgHt,2004,2005,2009,WD,Normal,7,2,1836,0,280000,PConc
Single Family Residential,1629,3206,8,3,880,NridgHt,2003,2004,2009,WD,Normal,7,2,1629,0,284000,PConc
Single Family Residential,1760,1760,7,2,583,NridgHt,2003,2004,2009,WD,Normal,8,2,1760,0,269500,PConc
Single Family Residential,1502,1502,7,2,644,NridgHt,2009,2009,2009,New,Partial,7,2,1502,0,233170,PConc
Single Family Residential,2392,2392,10,3,968,NridgHt,2003,2003,2009,WD,Normal,8,2,2392,0,386250,PConc
Single Family Residential,2452,2452,9,3,886,NridgHt,2003,2003,2009,WD,Normal,10,2,2452,0,445000,PConc
Single Family Residential,2400,1082,8,3,730,NridgHt,2003,2004,2009,WD,Normal,10,3,1105,1295,290000,PConc
